sequence_number,program_name,credential,school,catalogue_year,catalogue_identifier,program_identifier,source_url,canonical_url,acquisition_mode,output_filename,content_character_count,content_line_count,content_sha256,file_sha256,source_html_sha256,rendered_dom_sha256,classification_status,extraction_status,retrieved_at
118,Geological Sciences (BS),BS,,2026-2027,catoid=22,poid=31758,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31758&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31758,direct_html,118_geological_sciences_bs.txt,2046,72,ab9d50ab9436f1977305595365723786d92a1e8b952a4b905851754a5533862c,559fbfbc1a754b7a8075ec4bed4456aa44defcfd60e0fc4e5580213d7cc2cbef,94339a2b7a7427314a047edc8edc6f27ca025669b51ff7be37f5b951db9f64e0,,included,complete,2026-07-31T00:54:35Z
119,Global Geodesign (BS),BS,,2026-2027,catoid=22,poid=32569,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32569&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32569,direct_html,119_global_geodesign_bs.txt,2405,57,9b44a2cd0cb150ec13d857c469a8e79337a8178eea4633357ed7b65003d4fe1f,5898734d3b70338f349f171650cd2be376c8b148838c1be9cab96366a3b27543,b5a0be92c7c958f339aeb6c15ef22b87bf804d2b2b8b8b9a4cbdd1435081a008,,included,complete,2026-07-31T00:54:37Z
120,Global Health Studies (BS),BS,,2026-2027,catoid=22,poid=32210,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32210&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32210,direct_html,120_global_health_studies_bs.txt,6902,146,9323ab04bc7760a1453c540a0446d83901e38e6ef677f752d4f1f8142219fcea,163c012b199e575e836e18be1bbc21232732036d9ffd8f45e408b84f90acb81b,3a6df569b8a834b5e27163b2ae2bf40504ccb0b29d274f03ae03ed5503e5a5cd,,included,complete,2026-07-31T00:54:40Z
121,Global Studies (BA),BA,,2026-2027,catoid=22,poid=31701,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31701&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31701,direct_html,121_global_studies_ba.txt,3162,80,4e619198a094875d604c03be811abff5be783f47adb6c66350fda1f134709b69,ea75b97885e81422a6d160685e13265c0084ae82bc26a47a7f07133d81282fde,8e88085aa0ddab918b3f833c4691e9f234b57ba4b94a4e3f39be2470ae326306,,included,complete,2026-07-31T00:54:42Z
122,Health and Human Sciences (BA),BA,,2026-2027,catoid=22,poid=32477,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32477&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32477,direct_html,122_health_and_human_sciences_ba.txt,6668,155,d2196480cd4768b3c20b01cf144409568295a4d66022df41fe686cb05463ad8a,56892145bd31c2960b74b6269f574dce5e842988412cf4ad79e9e271e5dd9f53,c8132e5986078d118043fdd0e6eb530f0312e499d120ca3d1fb372f879c0aa76,,included,complete,2026-07-31T00:54:44Z
123,Health Promotion and Disease Prevention Studies (BS),BS,,2026-2027,catoid=22,poid=32209,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32209&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32209,direct_html,123_health_promotion_and_disease_prevention_studies_bs.txt,5593,120,357cfc6c9ac84973d4f349e75e8c9718a76f09fa9a6e401c09ba10c06e8d7467,a395caac6827ea9a4a31d55b94900aabbccf0d9af9b587addb0714afd0f4756b,20fc345c26bd3b8c872cfb497dcefc4ed473f7be357e96e3d10c537656277a23,,included,complete,2026-07-31T00:54:46Z
124,History (BA),BA,,2026-2027,catoid=22,poid=31820,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31820&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31820,direct_html,124_history_ba.txt,19595,339,1dea83570719f7f19b3575420ea0f0ed4ae8ea5ccaf468e8f29f04637dc06e60,3a5db261522de197552b7f2d491df63d9c19bb278e5fdd11bf48d1e9302b2ba8,2c090819288b03b4478d2a51f8c87b79d753b8f32326cb7c09048cb216301a6a,,included,complete,2026-07-31T00:54:49Z
125,Human Biology (BA),BA,,2026-2027,catoid=22,poid=31720,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31720&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31720,direct_html,125_human_biology_ba.txt,4946,112,baf8da369b77e34c55628685b6e466a7517eb5ba79a77817a440133355b321fb,50dfcb488e9c3affadba91b38ca6033bd83ac15eca6e29cb30a207fe9330a326,0457ee54907e1221d777cb92d37478737c646950b69c13c83d9c093121657060,,included,complete,2026-07-31T00:54:51Z
126,Human Biology (BS),BS,,2026-2027,catoid=22,poid=31719,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31719&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31719,direct_html,126_human_biology_bs.txt,5634,134,d918c2c52fbdbcf8b76c8b8a5027b7e189590e2ce3e3937d1090e8a25c5fbb66,8f5b8c850c50e62e191ee3a3ae06c706b2dcd3c30162371edfbd3cd9abd62418,03d42cd01565a0a2d7e13083379a13260ad6639d2bf52f71836f82ee617312bc,,included,complete,2026-07-31T00:54:54Z
127,Human Development and Aging (BS),BS,,2026-2027,catoid=22,poid=32142,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32142&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32142,direct_html,127_human_development_and_aging_bs.txt,4005,73,df31a949b95cc2f3d5ad4add3ec1663d299903127436d0fc3b859ab85ce91ba0,44e5e32121932b8d6d6600c95953c54d19d96556a5658ca8ad0387df42388f6b,2b0722654200da2df072d79bbc5909c0151a745729a785a4e0d66746bb0909d9,,included,complete,2026-07-31T00:54:56Z
128,"Human Development and Aging, Health Science Track (BS)",BS,,2026-2027,catoid=22,poid=32143,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32143&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32143,direct_html,128_human_development_and_aging_health_science_track_bs.txt,3115,89,51f6448a5e066dbf6bc7ecb9e4e60c37830876053ee42fcbce040c68ef1e5064,8322fd2cc43d95e9fbaee62952e6c4f55a6f1a408860eecc83926456f8740494,d8a1b6e18e247067d9f52f6cfdd9ab21b614ac527a00e6e03bb624bd72880ef7,,included,complete,2026-07-31T00:54:58Z
129,"Human Development and Aging, Honors Programs (BS)",BS,,2026-2027,catoid=22,poid=32144,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32144&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32144,direct_html,129_human_development_and_aging_honors_programs_bs.txt,3827,103,962b10d73cfb2c6adebc9f4e7ae41bb5b01c028ba3971c086500eea68131d8ad,130780524e4088c4942363d02e2e613c72eb882e68e616fb75f89b995f3c7f8a,6a0ccf161a8dccd01793fbd8cbdca308009ef1ba1d280874654071a637b62002,,included,complete,2026-07-31T00:55:01Z
130,Human Security and Geospatial Intelligence (BS),BS,,2026-2027,catoid=22,poid=32640,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32640&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32640,direct_html,130_human_security_and_geospatial_intelligence_bs.txt,9119,182,140ac39158690aec41da45f638105bcfd38243261f17520b914c7e99911c11ce,72ad90f4b42154bd689b0f65556a2cce837fb5e7026f2b6aafbcd59287f1bbf9,44f0e05ac6a0eb4ea6e4e56f1e20625d4815e747ee9fa8b006ad99663cc1107d,,included,complete,2026-07-31T00:55:03Z
131,Human Technology Interaction (BS),BS,,2026-2027,catoid=22,poid=32920,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32920&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32920,direct_html,131_human_technology_interaction_bs.txt,6853,154,7d33a6038805a049c5f284409757c38dd89583e34e6f81e82c724ccf754f5fb9,41afe0d647871494126132a053430dff2f39459a7bb74f60a01eea859b495dff,166c5414d5c9c858c903211fc6e75a0258d082c1898da01b349ddd11f7bcfcae,,included,complete,2026-07-31T00:55:05Z
132,Industrial and Systems Engineering (BS),BS,,2026-2027,catoid=22,poid=32114,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32114&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32114,direct_html,132_industrial_and_systems_engineering_bs.txt,2896,111,68f900b3f1090430d509f02170e71134379e5e5339f8398e49764d4081865191,31f99c5bf1381175fcd0e09c143c9a441228b871e3304c0f1c1fcb4092e34eb3,5c9c7cb96baebf75ab887930267550aa56b4c69b2329005d97868ce63e853317,,included,complete,2026-07-31T00:55:07Z
133,Intelligence and Cyber Operations (BA),BA,,2026-2027,catoid=22,poid=32563,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32563&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32563,direct_html,133_intelligence_and_cyber_operations_ba.txt,4945,150,6bece7ab06dde84eeeb54a30f6284b2d5ead20f78fa6d7e4a70b2c610e13a0c2,e5dd7f3b0ac5131f1b15c53b4bcd084b89645cb4aaf2595c46d790af213b8ff5,78d9d73d8b8c873243da02c827a3e306cd42a3f2898fc8ad8f07a4db79eadc3c,,included,complete,2026-07-31T00:55:09Z
134,Interdisciplinary Studies (BA),BA,,2026-2027,catoid=22,poid=32737,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32737&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32737,direct_html,134_interdisciplinary_studies_ba.txt,1978,23,d36a9a92e48bc3ff2a1519a3b1501b583fc658918442907ff4cb6138eb67da39,26c2861b49eb57bf8681d834a1917856e13c4401d74b6acf78eb52ea03cd5d98,f0c57a50bb3bdc63049c04a77f38bd9652eb6eeb83b26023b0e1051276c65a51,,included,complete,2026-07-31T01:23:02Z
135,International Relations (BA),BA,,2026-2027,catoid=22,poid=31830,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31830&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31830,direct_html,135_international_relations_ba.txt,12246,229,cbddfc1fd750ec544afe077e621cd896e4bb50e89119c6cb01bad93ecbcf2686,638aa59b37f98a02ef7bc79a7b67508424933017c614647ee8df24dbb4c3e988,be9e13acbf89336fafba34e0d207810fee8b520e49011e2986b23e023e1af2e9,,included,complete,2026-07-31T00:55:13Z
136,International Relations (Global Business) (BA),BA,School of International Relations,2026-2027,catoid=22,poid=31831,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31831&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31831,direct_html,136_international_relations_ba.txt,4475,117,a0d805bd7b1ea8444a4d21886a76a911cefe2cced86f99057ed5915426aa668f,408626ab2ccb65a6d00f8202747e14dedd7b6efc772a86f120de928e5a0a6541,22cf58be9a443d9df3f4f3c326ea237b5195efd5e95b20d22ddf1c24280614de,,included,complete,2026-07-31T00:55:15Z
137,International Relations and the Global Economy (BA),BA,School of International Relations,2026-2027,catoid=22,poid=31832,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31832&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31832,direct_html,137_international_relations_and_the_global_economy_ba.txt,3774,97,475c52ed43d1452a0f25c2103876fa67a7212d86570bda236f2aadfc90f16db0,aac131776e684d2a8e41a6a81f591fcf525a0d6ab64874d78f26109214dcb4b3,4130ad69119e5ce63775a352a6d032cd9ed4b1480e3b270747eec670bc340dfb,,included,complete,2026-07-31T00:55:18Z
138,Italian (BA),BA,,2026-2027,catoid=22,poid=31812,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31812&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31812,direct_html,138_italian_ba.txt,2555,65,f21494a18ac3486267df0e4103ff3eb53f5166b49335b9b99036a0364e714774,e35da115eac16b763c7c7ee34c304b0b758be7bc27922a556537a36ac23d78ea,a9f26c3be2b00ad0aad9fa755158ef22188179b5645d3db2309f5e9faf286013,,included,complete,2026-07-31T00:55:19Z
139,Jazz Studies (BM),BM,,2026-2027,catoid=22,poid=32230,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32230&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32230,direct_html,139_jazz_studies_bm.txt,9460,293,4f553fed7084ca1784b788c0e2b573011ae964705bf703de26411bc260ebe3e7,a772f377d7d77f435720f67032b9dd6de0d95d987e227fcdc9fe62fdbd23924f,96b61d866d315e04b67b3421a89e46b61e0d3918884a4cc0de255e52575e2bd5,,included,complete,2026-07-31T00:55:21Z
140,Jewish Studies (BA),BA,,2026-2027,catoid=22,poid=32429,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32429&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32429,direct_html,140_jewish_studies_ba.txt,5318,100,3b2381e2ccee238df80d5c4a0a533c66ea79001c3fbec4cfa4beaffe489df5de,10430a09005e39c84f01237100a5eb43ad604046d41383c77a1274de5f5e62ef,dfd7acbefadfc3df134decb4add82b0e6b926462bdf9020929436844382e87d0,,included,complete,2026-07-31T00:55:23Z
141,Journalism (BA)*,BA,,2026-2027,catoid=22,poid=32448,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32448&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32448,direct_html,141_journalism_ba.txt,2270,65,be75c3b6970575555916aaf216c23c61c5c5477a66d4bd0566747161d71541fb,a4abbbd690315d8132949f6b9450cead9ddb30bcfa86c398ca8b0a7290c46170,2c5adcd5269e4fb86c5b74d9a40d8aab471fdfb57785fa15f5f914d16c9f9d37,,included,complete,2026-07-31T00:55:25Z
142,"Latin American and Iberian Cultures, Media and Politics (BA)",BA,,2026-2027,catoid=22,poid=32519,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32519&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32519,direct_html,142_latin_american_and_iberian_cultures_media_and_politics_ba.txt,6230,115,652dc297515686f6373a8f0c845222cab0bf4fb29ee4700cf3d5ae970a53f9ab,bf849da741ca34b6ff8a5f92df087b5766e4288d91f75cdcf4cbe79951ecfdeb,9941879c8af100c1a367285ff4d5aa6f27a7afb5b21add6bd6fd52f884bbe680,,included,complete,2026-07-31T00:55:27Z
143,Law and Economics (BS),BS,Gould School of Law,2026-2027,catoid=22,poid=32938,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32938&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32938,direct_html,143_law_and_economics_bs.txt,5195,123,715e03fda64c0482565ffa24473333d3827a1ee5d805cb5ffa3711cb8e316380,b6ffb08b551fc5fc22c0a0ff609d91e7afe43559e98faed45fef06ceeec38108,bd954f9403b62352cdab1ae193f912023897daec4ecc6ee6a213983a1d4a03f8,,included,complete,2026-07-31T00:55:29Z
144,"Law, History, and Culture (BA)",BA,,2026-2027,catoid=22,poid=31822,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31822&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31822,direct_html,144_law_history_and_culture_ba.txt,7305,132,001afb5eba57893f11e69d7be504c870c90c5362f185e796345f3a71dc494ef9,e5dae9604cf64f7eece2904e6e17519bf508577330e340631dcb991c13befa24,73c8439ab9cac43de5e7ad147b8363dd8497efa2a7f9134d4750c93326512994,,included,complete,2026-07-31T00:55:31Z
145,Legal Studies (BS),BS,,2026-2027,catoid=22,poid=32797,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32797&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32797,direct_html,145_legal_studies_bs.txt,6805,158,89669caeaed8a8237e6ca17d2687b2d7b71c69fa9b8b049817a8ec6536f6333d,07e6de260100ba48b5a7faca1c757fa1702bea1dcaad1c5b618dead839819968,02cbe103a4b8885d13231a449445f954092553a7f7a06e4973a0b017052ce5af,,included,complete,2026-07-31T00:55:33Z
146,Lifespan Health (BS),BS,,2026-2027,catoid=22,poid=32145,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32145&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32145,direct_html,146_lifespan_health_bs.txt,2902,58,2014bcf244ea841f4c72c95a99329977bd183782ec6db4df5c7c3d25d5274fbf,dfad9a29cfdd31e03e9fd3b5134fb7814aa28a751e523fccd10a8be2a8626319,00069cb9d9e9a50a962486c7e9553a55f03d05fbae173223721e85c757684fe2,,included,complete,2026-07-31T00:55:36Z
147,Linguistics (BA),BA,,2026-2027,catoid=22,poid=31842,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31842&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31842,direct_html,147_linguistics_ba.txt,1476,47,509dab973012d0c5962a2a790956c3ab16df0bcdb1fe2ab9221a44fce2e3da6f,796114a799f7b1ff166abfc9e360099bd74e1a159e07ca48f7f6cb44652d2675,d3b799dd38244583f273b61977d911195f02cf5d43b0be642fa3e8f39db2b8fa,,included,complete,2026-07-31T00:55:38Z
148,Mathematics (BA),BA,,2026-2027,catoid=22,poid=31852,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31852&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31852,direct_html,148_mathematics_ba.txt,1235,43,7b87b7a9a7d3bcb77d72817715d1994671a11b1b4c7429b918f63714e0087c9f,8005be6dc0564e02376e2920f49e71284e57461577a122ee93d024a5228badf7,1803b7a54f134f0141902fddedfe2388c0101c5428f8bfdc34b07ef0a37927f6,,included,complete,2026-07-31T00:55:40Z
149,Mathematics (BS),BS,,2026-2027,catoid=22,poid=31853,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31853&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31853,direct_html,149_mathematics_bs.txt,1887,59,a5c62b4cbba060bcf05c4867fb58150951709e2be473d7f27967129eb640ae0a,f8b15b01e0d9ed7666ef7b04c7112036d3c268587110536b7c430682dd047d04,2b572e2043d417a64586a486837356b10b50e919d613d76273d3c746e417685b,,included,complete,2026-07-31T00:55:42Z
150,Mechanical Engineering (BS),BS,,2026-2027,catoid=22,poid=32039,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32039&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32039,direct_html,150_mechanical_engineering_bs.txt,3256,120,4570b122e5d60e34318a4326b437823e1208e4daa7a9d1e8268da67f0e51debb,7e04d920f7548a952aec51cba035b5bb9352e5a0bd06d42c1660f153cd95814f,111648089c6f645da479a4258ce8be8849623ed7ad3888458b128b7ef1be4601,,included,complete,2026-07-31T00:55:44Z
151,Media Arts and Practice (BA)*,BA,,2026-2027,catoid=22,poid=31669,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31669&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31669,direct_html,151_media_arts_and_practice_ba.txt,4385,91,9f940f396e7daa1423e27a21ada5e180ec89e595aa90d06419624214eecc4be3,f408663db05e9dd2f5857a578b84ccb8eaccb85be095462feaabdc68b9ec4c40,f2e8c7a0eb9891d8830e26b4223ec1e4a70afe05344d9ee11257a9f0b6078ec6,,included,complete,2026-07-31T00:55:47Z
152,Middle East Studies (BA),BA,,2026-2027,catoid=22,poid=31866,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31866&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31866,direct_html,152_middle_east_studies_ba.txt,11970,250,923260e675920d888dc059e47551c5b4d6604f8c85b9a0276a9ce2e71c303d1a,b40a67a02ecc37ea18044bec4e63634ca40ab50bd0ab4de0d19774436d0a3b9a,13a0308b58ea4343df7dd7d0d14f340c12e259f69530490fc667c1f554820074,,included,complete,2026-07-31T00:55:49Z
153,Music (BA)*,BA,,2026-2027,catoid=22,poid=32242,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32242&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32242,direct_html,153_music_ba.txt,5828,179,7c55dc9030145e0dda02a8168ae10d3aa17b35935481f4cacbaba35b95147632,6b1dc43c344d3ed919ca4d3c92c38daa82f9ca3a71e51c667a02558dec424aac,b3100f424fe469c2dbd931a04918bc56e3455bf482df36373cffa747d7616e2c,,included,complete,2026-07-31T00:55:51Z
154,Music Industry (BM),BM,"Thornton School of Music. The various majors for the degree are listed below, al",2026-2027,catoid=22,poid=32240,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32240&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32240,direct_html,154_music_industry_bm.txt,5739,122,348a8c07817822f7ff2dbf4bb8a12522aa32c346869db2b8393a8dff3ac6eaae,d2db6e3aa46aa0d20905e0328f62ec5947b5657d759beddd9d5addb74d3f1221,63b56791f8ea24a23a4a488be82b632ff76d4bb6c6c29aa5f023ed5c02547ef7,,included,complete,2026-07-31T00:55:53Z
155,Music Industry (BS),BS,,2026-2027,catoid=22,poid=32241,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32241&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32241,direct_html,155_music_industry_bs.txt,7605,198,f4adbcdd861bbaa0964a9bbed4c97d27728f4253e62bc7f9abee1a54b2549b79,23ff8bb5fdc05201f865994d0e6d605325a9ab1b40bf25c94e98b4a69acb91d6,832dcda6ef8d8030a1c96c86b952de4d6718281c1f6177f49e904fbb5ca43c51,,included,complete,2026-07-31T00:55:55Z
156,Music Production (BM),BM,,2026-2027,catoid=22,poid=32231,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32231&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32231,direct_html,156_music_production_bm.txt,5943,162,1ffc1c4e5c09cf59850f22fccc543114e98f476d4c21b611e9961aecf4965356,579425dc171e6f6dbc2e697b2d05d64bf8835bf3884465beb08c48cb5736fc87,f5b80c115b8c9376d9bc8edc65c03fc5b908eacdf3f82bda012c18cf43948171,,included,complete,2026-07-31T00:55:57Z
157,Musical Theatre (BFA),BFA,,2026-2027,catoid=22,poid=32621,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32621&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32621,direct_html,157_musical_theatre_bfa.txt,5286,98,4afc9e73b79c341e633a41eb17b3bf83a7ae38de2ac0e94cd22167b5eb6352b6,be4560aaa3885b0953edaf72ef93ee8bc2e0cc04c2cb710c33e543dab9569f0b,79fbf1e1b6c875e535eac0763b15a360fcd1a32edbe1611831db9c5f7d8e3dcb,,included,complete,2026-07-31T00:55:59Z
158,Narrative Studies (BA),BA,,2026-2027,catoid=22,poid=31790,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31790&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31790,direct_html,158_narrative_studies_ba.txt,10731,232,34342684f53f89798ca79477eefb3cc3dbe8f1bb46077b0bf9d4027416700ad5,f1df7d5e188afbcafa64a28064f16dfa83c1d0449fc5c5bfc00b2421beab7dcb,214f43d6cefe745d22b2bf4c6d24071aa87c2306d6440093ec38093a0cc038fa,,included,complete,2026-07-31T00:56:02Z
159,Neuroscience (BA),BA,,2026-2027,catoid=22,poid=31869,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31869&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31869,direct_html,159_neuroscience_ba.txt,6464,145,b26640acadfc3ad92644249cf4208bc5936c529132e11e8a3f1e00fb220daba1,74d07f673a4382c883c03cda3f4422e5133456b1c376c8cc4fc3e8926ac14b41,b86345e3274a6b0cfbb1c0b1161d36dfdcb1a3aa6fd4db3ea41a68c72a3ed12b,,included,complete,2026-07-31T00:56:05Z
160,Neuroscience (BS),BS,,2026-2027,catoid=22,poid=31870,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31870&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31870,direct_html,160_neuroscience_bs.txt,6745,158,5e806b849627ab6f32682f0620bf7bb39b0eef0ae8973ce8b93989252fcf2438,3ab3b80528ea7a95263fb6a167ec14054502f81777cad534d9242ba97abb7387,1dbcfee1bcb390a9ae799001b97d80fd9f38129cdcb0db8c309e012172bebe7e,,included,complete,2026-07-31T00:56:07Z
161,Non-Governmental Organizations and Social Change (BA),BA,,2026-2027,catoid=22,poid=31929,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31929&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31929,direct_html,161_non_governmental_organizations_and_social_change_ba.txt,6890,179,12d49be669e0ee7010269d78f973e5918371a89c6a0fa8eff02d10b606d26c75,7c7b16a9407aba1be628c2393af591be8ccc60210db506c47f3828efe278ef78,745e53944fcbade737f835dfc16e6c9e4daea12d44b41f5e9823d7c8882495ad,,included,complete,2026-07-31T00:56:10Z
162,Occupational Therapy (BS),BS,,2026-2027,catoid=22,poid=32166,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32166&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32166,direct_html,162_occupational_therapy_bs.txt,6811,118,83727e1242ef0295f59f4778d16b53f56a11dc0d01188c3103eaa0539cbc36f3,19d95ffed76d190ec31d49d9fe87e55f167b533bd2de9f0569f5b4acd49708a0,aff1e71127837e2eb207b6fe36e129a73c4dcdef08543c8d1b8b495db1c00516,,included,complete,2026-07-31T00:56:13Z
163,Performance (Classical Guitar) (BM),BM,,2026-2027,catoid=22,poid=32233,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32233&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32233,direct_html,163_performance_bm.txt,6783,178,58f4661be55137185cc7fa77ad1eb1c6e99746f3c8e06ce6513ddbb4e29ad77e,f1f79514284d40e396bbf25ca40538e74b0456323934d04b12c966203ccbd7ef,be45e186a665b06262fd35f11dfd676a9aea401618d32be9dc0e1686c9649a70,,included,complete,2026-07-31T00:56:16Z
164,"Performance (Flute), (Oboe), (Clarinet), (Bassoon), (Saxophone), (French Horn), (Trumpet), (Trombone), (Tuba) or (Percussion) (BM)",BM,,2026-2027,catoid=22,poid=32238,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32238&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32238,direct_html,164_performance_flute_oboe_clarinet_bassoon_saxophone_french_horn_trumpet_bm.txt,6523,174,c87a073fab707ead7f706b88e541e715827f852e383874b63c582722532c4aab,1b7d15cd7b6c477c3767865577037734df11c87c82ef30a05fb1829835076e32,25aacaadbd5f31559a0daecd02825edb4199fd00fc3fa00c8c1ddea8806c2fca,,included,complete,2026-07-31T00:56:18Z
165,Performance (Organ) (BM),BM,,2026-2027,catoid=22,poid=32235,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32235&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32235,direct_html,165_performance_bm.txt,6223,172,2b324bb8d871bb3fd8936fcd7d255c862653029679258cee8d50cd49af3107d3,7b2f2af9516b1e4f21591566eb8cc1b68669b2928a24f75857306e38533bbd56,3ed7fd81ee9110bf5ce44b840452aff52bcc10383b317a50f1f2fd4a089852f7,,included,complete,2026-07-31T00:56:20Z
